ID_Tramite,Tipo_Tramite,Facultad,Semestre,Dia_Semana,Hora_Solicitud,Numero_Solicitudes,Personal_Disponible,Tiempo_Promedio_Atencion,Modalidad,Sistema_Caido,Carga_Por_Personal,Hora_Pico,Indice_Demanda,Riesgo_Congestion,Congestion,Tiempo_por_Solicitud,Nivel_Congestion
1,Constancia,Medicina,2025-I,Viernes,15,0.6181818181818182,0.375,0.25,Virtual,0,0.24745762711864405,1,0.10850664909981973,Medio,1,0.128,Alta
2,Matrícula,Medicina,2025-I,Lunes,15,0.20909090909090908,0.125,0.75,Virtual,0,0.1694915254237288,1,0.1548367948226062,Medio,1,0.606,Alta
3,Constancia,Medicina,2025-II,Jueves,7,0.49090909090909085,0.625,0.45000000000000007,Presencial,0,0.13796610169491524,0,0.08823721034610066,Bajo,0,0.219,Baja
4,Matrícula,Arquitectura,2025-I,Viernes,14,0.14545454545454545,0.375,0.45000000000000007,Presencial,0,0.0711864406779661,1,0.04827745966019733,Bajo,0,0.538,Baja
5,Matrícula,Derecho,2025-I,Jueves,16,0.10909090909090907,0.125,0.55,Presencial,0,0.10728813559322034,1,0.08051310636387986,Bajo,1,0.727,Alta
6,Pago,Medicina,2025-I,Lunes,14,0.04545454545454544,0.75,0.9000000000000001,Presencial,0,0.014915254237288133,1,0.02679185458125511,Bajo,0,1.533,Baja
7,Constancia,Arquitectura,2025-I,Jueves,15,0.709090909090909,0.375,0.8500000000000001,Presencial,0,0.28135593220338984,1,0.27587430052338585,Alto,1,0.25,Alta
8,Certificado,Ingeniería,2025-I,Viernes,11,0.5545454545454545,0.0,0.65,Presencial,0,0.5847457627118644,1,0.4581544676014739,Alto,1,0.254,Alta
9,Constancia,Derecho,2025-II,Viernes,9,0.20909090909090908,0.375,0.0,Virtual,0,0.09491525423728814,1,0.019465900288839502,Bajo,0,0.152,Baja
10,Constancia,Educación,2025-I,Jueves,10,0.1909090909090909,0.25,0.75,Presencial,0,0.11440677966101696,1,0.1077827405729012,Medio,0,0.645,Baja
11,Certificado,Medicina,2025-II,Viernes,18,0.7545454545454545,0.125,0.2,Presencial,0,0.5084745762711865,0,0.19754739791079998,Alto,1,0.097,Alta
12,Matrícula,Ingeniería,2025-I,Martes,17,0.8454545454545453,0.0,0.65,Virtual,0,0.8559322033898306,0,0.6666401233540129,Alto,1,0.175,Alta
13,Retiro,Administración,2025-I,Viernes,8,0.13636363636363635,1.0,0.15000000000000002,Presencial,0,0.02542372881355932,1,0.0100550894388985,Bajo,0,0.32,Baja
14,Matrícula,Medicina,2025-I,Jueves,18,0.03636363636363635,0.75,0.55,Presencial,0,0.012711864406779662,0,0.015846357654246808,Bajo,0,1.143,Baja
15,Retiro,Medicina,2025-II,Miércoles,8,0.36363636363636365,0.125,0.2,Presencial,0,0.2655932203389831,1,0.1041631979383085,Medio,1,0.18,Alta
16,Constancia,Derecho,2025-II,Viernes,11,0.04545454545454544,0.375,0.15000000000000002,Virtual,0,0.03389830508474577,1,0.012950723546572656,Bajo,0,0.533,Baja
17,Constancia,Derecho,2025-I,Lunes,7,0.1727272727272727,0.0,0.050000000000000044,Presencial,0,0.2288135593220339,0,0.05855696074244057,Bajo,1,0.207,Alta
